handle,product_id,current_title,vendor,category,price,tier,action_default,oecm_eligible,current_desc_chars,current_desc_preview,enrich_action,draft_meta_title,draft_meta_title_chars,draft_meta_desc,draft_meta_desc_chars,draft_body_html,steve_approve,steve_notes
zira-conference-table-9-sizes,9103414755641,Zira conference table — 9 sizes,Global Furniture Group,tables,2499.0,A,keep,yes,743,"Item Code:             Conference Table is a perfect addition to an office where style, comfort, and functionality are c",seo-only,Zira conference table — 9 sizes | Brant Business Interiors,58,The Zira conference table — 9 sizes available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-...,155,,,
fellowes-array-ceiling-ac2-air-purifier,9712548118841,Fellowes array ceiling AC2 air purifier,Brant Business Interiors,accessories,5800.0,B,keep,yes,927,Array® Ceiling AC2 Air Purifier      Dual 3-in-1 filter is 99.95% effective in capturing particles as small as 0.1 micro,seo-only,Fellowes array ceiling AC2 air pu | Brant Business Interiors,60,The Fellowes array ceiling AC2 air purifier from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-80...,155,,,
fellowes-array-recess-ar-air-purifier-1,9712556441913,Fellowes array recess ar air purifier,Brant Business Interiors,accessories,3929.0,B,keep,yes,1023,"Fellowes 3-in-1 filter (prefilter, carbon and H13 True HEPA filtration) is 99.95% effective in capturing molecules as sm",seo-only,Fellowes array recess ar air puri | Brant Business Interiors,60,The Fellowes array recess ar air purifier from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-...,155,,,
fellowes-array-wall-stand-air-purification,9712562045241,Fellowes array wall & stand air purification,Brant Business Interiors,accessories,3150.0,B,keep,yes,724,Array® Wall AW1 & AW2 Air Purifiers     3-stage filtration is 99.95% effective in capturing particles as small as 0.1 mi,seo-only,Fellowes array wall & stand air p | Brant Business Interiors,60,The Fellowes array wall & stand air purification from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call...,155,,,
fellowes-lotus-dual-monitor-arm-kit-2-display-s-supported27-arm-only-fel8042901,9712537927993,"Fellowes lotus dual monitor arm kit - 2 display(s) supported27"" (arm only) — FEL8042901",Brant Business Interiors,accessories,146.89,B,keep,yes,332,Lotus™ Dual Monitor Arm Kit     Easy to mount via grommet hole allowing for quick set-up   Height adjusts up to 16” abov,seo-only,Fellowes lotus dual monitor arm k | Brant Business Interiors,60,"The Fellowes lotus dual monitor arm kit - 2 display(s) supported27"" (arm only) from Brant Business Interiors — office accessories for Ontario workplaces...",155,,,
otg-panels,9665473052985,Otg panels,Brant Business Interiors,accessories,439.99,B,keep,yes,1085,"OTG | Panel - Fabric Top and Bottom       An innovative and economical tool for creating efficient workspace surrounds, ",seo-only,Otg panels | Brant Business Interiors,37,The Otg panels from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-835-9565.,134,,,
otgma2-dual-monitor-arm,9676167774521,OTGMA2 dual monitor arm,Brant Business Interiors,accessories,159.99,B,keep,yes,642,"OTGMA2       Dual Monitor Arm       can be used as single or double monitor arm   height adjustment range: 7"" to 17.7""  ",seo-only,OTGMA2 dual monitor arm | Brant Business Interiors,50,The OTGMA2 dual monitor arm from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-835-9565.,147,,,
rollamat-for-carpet-carpeted-floor-53-x-45-3,9098336895289,"Rollamat for carpet - carpeted floor — 53"" x 45""",Brant Business Interiors,accessories,306.0,B,keep,yes,1349,"Category  Carpet Chair Mats  Manufacturer  Deflecto, LLC  Manufacturer Ref  CM15233  Brand  Deflecto  Item Code : DEFCM1",seo-only,Rollamat for carpet - carpeted fl | Brant Business Interiors,60,"The Rollamat for carpet - carpeted floor — 53"" x 45"" from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. ...",155,,,
part-time-armless-task-chair-mvl2836,10196146585913,Part-Time | Armless Task Chair MVL2836,Brant Business Interiors,uncategorized,249.99,B,keep,yes,742,"Part-Time | Armless Task Chair     Part-Time series is a collection of office chairs proudly made in Canada, designed to",seo-only,Part-Time | Armless Task Chair MV | Brant Business Interiors,60,Shop the Part-Time | Armless Task Chair MVL2836 at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call ...,155,,,
shoptech-2302-pc775,9754653262137,Shoptech 2302– — PC775,Brant Business Interiors,uncategorized,363.0,B,keep,yes,423,Features     Ergonomically designed seat that both straightens and strengthens the spine   Relieves pressure on the disc,seo-only,Shoptech 2302– | Brant Business Interiors,41,Shop the Shoptech 2302– at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,143,,,
ceiling-grids-sound-acoustic-dampeners-copy,9832616821049,Ceiling grids sound acoustic dampeners,Brant Business Interiors,accessories,608.0,C,archive-duplicate,yes,424,"We offer multiple solutions to dampen the sound in open area's.    Made out of 12mm felt, these modern looking products ",seo-only,Ceiling grids sound acoustic damp | Brant Business Interiors,60,The Ceiling grids sound acoustic dampeners from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800...,155,,,
halifax-typical-4,9822310236473,Halifax typical 4,Brant Business Interiors,accessories,4450.0,C,archive-duplicate,yes,711,Halifax is a culmination of  OCI's steadfast commitment to always raising the bar through progressive design and providi,seo-only,Halifax typical 4 | Brant Business Interiors,44,The Halifax typical 4 from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-835-9565.,141,,,
partitions-66-high-2-offices-1,9749031420217,"Partitions 66"" high 2 offices — 66""",Brant Business Interiors,accessories,2099.99,C,archive-duplicate,yes,345,"2@Back Panel Size: 60"" Wide   3@Side Panels Size: 48"" Wide        Made in Canada       Finishes:       Panel frame, flat",seo-only,"Partitions 66"" high 2 offices — 6 | Brant Business Interiors",60,"The Partitions 66"" high 2 offices — 66"" from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-83...",155,,,
partitions-66-high-3-offices-1,9749032632633,"Partitions 66"" high 3 offices — 66""",Brant Business Interiors,accessories,2999.0,C,archive-duplicate,yes,345,"3@Back Panel Size: 60"" Wide   4@Side Panels Size: 48"" Wide        Made in Canada       Finishes:       Panel frame, flat",seo-only,"Partitions 66"" high 3 offices — 6 | Brant Business Interiors",60,"The Partitions 66"" high 3 offices — 66"" from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-83...",155,,,
adapt-high-back-synchro-tilter-mvl11724-mvl11725,9815337566521,Adapt | high back synchro-tilter MVL11724 — MVL11725,Brant Business Interiors,chairs,399.99,C,archive-duplicate,yes,1170,MVL11724 OR MVL11725       Adapt | High Back Synchro-Tilter     Experience unparalleled comfort and style with our Canad,seo-only,Adapt | high back synchro-tilter | Brant Business Interiors,59,"Shop the Adapt | high back synchro-tilter MVL11724 at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-...",155,,,
bar-stool-for-42-high-tables,9778177835321,"Bar stool for 42"" high tables — 42""",Brant Business Interiors,chairs,286.0,C,archive-duplicate,yes,974,"Popcorn™         Popcorn, designed by Zooey Chu, is ideal for conference areas, cafeterias, classrooms and healthcare sp",seo-only,"Bar stool for 42"" high tables — 4 | Brant Business Interiors",60,"Shop the Bar stool for 42"" high tables — 42"" at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligib...",155,,,
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,9747447873849,Basics comfort-time ultra multi-tilter chair with headrest,Brant Business Interiors,chairs,664.99,C,archive-duplicate,yes,336,Basics® Comfort-Time™ Ultra Multi-Tilter Chair with Headrest • Pneumatic seat height adjustment • Seat depth adjustment ,seo-only,Basics comfort-time ultra multi-t | Brant Business Interiors,60,"Shop the Basics comfort-time ultra multi-tilter chair with headrest at Brant Business Interiors — quality task seating for Ontario offices, clinics & in...",155,,,
cluster-seating-2,9924896358713,Cluster seating 2,Brant Business Interiors,chairs,1388.0,C,archive-duplicate,yes,344,"Comfortably seats 2 adults   1"" thick industrial grade particle board   High pressure scratch resistant laminate   3mm e",seo-only,Cluster seating 2 | Brant Business Interiors,44,"Shop the Cluster seating 2 at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835...",155,,,
concorde-high-back-24hr-executive-synchro-tilter-deep-seat-2424-18,9924908613945,"Concorde high back 24HR executive synchro-tilter, deep seat (2424-18) — 2424-18",Global Furniture Group,chairs,2337.0,C,archive-duplicate,yes,646,Concorde provides unique push-button control from the arm of the chair.  With the click of a button the seat floats free,seo-only,Concorde high back 24HR executive | Brant Business Interiors,60,"Shop the Concorde high back 24HR executive synchro-tilter, deep seat (2424-18) — 2424-18 at Brant Business Interiors — quality task seating for Ontario ...",155,,,
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,9815803887929,Elora multi-tilter high back chair black petite seat — BAOMVL1894,Brant Business Interiors,chairs,569.99,C,archive-duplicate,yes,915,Seat Size: Petite Seat (for small set individuals)   Multi-tilt feature makes the chair versatile and suitable for any s,seo-only,Elora multi-tilter high back chai | Brant Business Interiors,60,"Shop the Elora multi-tilter high back chair black petite seat at Brant Business Interiors — quality task seating for Ontario offices, clinics & institut...",155,,,
high-back-weight-sensing-synchro-tilter,9639512768825,High back weight sensing synchro-tilter,Brant Business Interiors,chairs,659.0,C,archive-duplicate,yes,402,"Sora™ responds to your movements while you work. With perceptive adjustments built into a streamlined aesthetic, Sora pr",seo-only,High back weight sensing synchro- | Brant Business Interiors,60,"Shop the High back weight sensing synchro-tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-el...",155,,,
ibex-upholstered-seat-back-guest-chair-mvl2832,10002329272633,Ibex | upholstered seat & back guest chair — MVL2832,Global Furniture Group,chairs,335.99,C,archive-duplicate,yes,546,"Ibex | Upholstered Seat & Back Armless Guest Chair     Elevate your office experience with our Ibex chair, meticulously ",seo-only,Ibex | upholstered seat & back gu | Brant Business Interiors,60,"Shop the Ibex | upholstered seat & back guest chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM...",155,,,
obusforme-comfort-high-back-chair-1260-3-schukra,10052615831865,ObusForme Comfort high back chair 1260-3 schukra,ObusForme,chairs,769.99,C,archive-duplicate,yes,367,"caps"" that articulate inwards 30 degrees.  Standard with a five legged, injection molded reinforced nylon black base. An",seo-only,ObusForme Comfort high back chair | Brant Business Interiors,60,"Shop the ObusForme Comfort high back chair 1260-3 schukra at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions...",155,,,
tl-high-back-synchro-tilter,9770566779193,Tl | high back synchro-tilter,Brant Business Interiors,chairs,679.99,C,archive-duplicate,yes,538,Canadian designed and manufactured ergonomic chair. Greengaurd certified • Pneumatic seat height adjustment • Upright po,seo-only,Tl | high back synchro-tilter | Brant Business Interiors,56,"Shop the Tl | high back synchro-tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Ca...",155,,,
management-u-shaped-suite-72w-x-102d,9726650548537,"Management ""u"" shaped suite - 72""w x 102""d — 102""",Brant Business Interiors,desks,1944.0,C,archive-duplicate,yes,626,"Management ""U"" Shaped Suite - 72""W x 102""D     Simple and modular components combining classic design, quality and value",seo-only,"Management ""u"" shaped suite - 72"" | Brant Business Interiors",60,"The Management ""u"" shaped suite - 72""w x 102""d — 102"" from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplie...",155,,,
single-pedestal-desk-nlp232,9782658629945,Single pedestal desk — NLP232,Brant Business Interiors,desks,799.99,C,archive-duplicate,yes,612,"NLP232       Newland | Single Pedestal Desk - 60""W x 30""D     Newland - simple and modular components combining classic ",seo-only,Single pedestal desk | Brant Business Interiors,47,The Single pedestal desk from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-800-835...,155,,,
4-drawer-legal-width-vertical-file,9727970705721,4 drawer legal width vertical file — 4 drawer,Brant Business Interiors,storage,489.99,C,archive-duplicate,yes,490,"4 Drawer Legal Width Vertical File     metal filing cabinet   4 drawer - legal width vertical file   depth 25""   ball be",seo-only,4 drawer legal width vertical fil | Brant Business Interiors,60,Shop the 4 drawer legal width vertical file — 4 drawer at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligibl...,155,,,
fireking-storage-cabinet-44-high,9779951731001,"Fireking storage cabinet 44"" high — 44""",Brant Business Interiors,storage,5299.79,C,archive-duplicate,yes,744,"This Storage Cabinet features a U.L. class 350 one-hour fire rating, offering protection for oversized documents, binder",seo-only,"Fireking storage cabinet 44"" high | Brant Business Interiors",60,"Shop the Fireking storage cabinet 44"" high — 44"" at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Cal...",155,,,
folding-table-30-x-96-1,9103179186489,"Folding table — 30"" x 96""",Brant Business Interiors,tables,195.38,C,archive-duplicate,yes,626,Category  Panels/Partitions  Manufacturer  Heartwood Manufacturing Ltd  Manufacturer Ref  TLT-R45-GN  Brand  HDL  Item C,seo-only,"Folding table — 30"" x 96"" | Brant Business Interiors",52,"The Folding table — 30"" x 96"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-83...",155,,,
folding-table-30x-72,9103178400057,"Folding table — 30""x 72""",Brant Business Interiors,tables,164.67,C,archive-duplicate,yes,653,"safe use both indoors and outdoors   High-impact, polyethylene top resists scratches to maintain high quality   Foldable",seo-only,"Folding table — 30""x 72"" | Brant Business Interiors",51,"The Folding table — 30""x 72"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835...",155,,,
height-adjustable-base-pneumatic,9937627775289,Height adjustable base pneumatic (top sold separately),Brant Business Interiors,tables,699.99,C,archive-duplicate,yes,828,The Sudo series has a lightweight pneumatic base  - Perfect for the user with minimal desk clutter who wants to sit and ,seo-only,Height adjustable base pneumatic | Brant Business Interiors,59,The Height adjustable base pneumatic (top sold separately) available at Brant Business Interiors. Conference & training tables for Ontario institutions....,155,,,
management-u-shaped-suite-with-3-stage-height-adjustable-table,9726681907513,"Management ""u"" shaped suite with 3-stage height adjustable table",Brant Business Interiors,tables,2775.0,C,archive-duplicate,yes,1483,"Management ""U"" Shaped Suite with 3-Stage Height Adjustable Table     Newland - simple and modular components combining c",seo-only,"Management ""u"" shaped suite with | Brant Business Interiors",59,"The Management ""u"" shaped suite with 3-stage height adjustable table available at Brant Business Interiors. Conference & training tables for Ontario ins...",155,,,
quick-assembly-electric-height-adjustable-base,10045568352569,Quick assembly electric height adjustable base,Brant Business Interiors,tables,999.99,C,archive-duplicate,yes,752,"Quick Assembly Electric Height Adjustable Base        quick assembly 2-leg, 3-stage electric height adjustable table bas",seo-only,Quick assembly electric height ad | Brant Business Interiors,60,The Quick assembly electric height adjustable base available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-el...,155,,,
quick-assembly-height-adjustable-base,9842444271929,Quick assembly height adjustable base,Brant Business Interiors,tables,944.49,C,archive-duplicate,yes,387,"CONSTRUCTION Fold out leg for quick assembly Sturdy, 3-stage, steel frame construction BIFMA Certified (2 leg model) Ope",seo-only,Quick assembly height adjustable | Brant Business Interiors,59,The Quick assembly height adjustable base available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. C...,155,,,
table-29-x-28-4,9113981321529,"Table — 29"" x 28""",Brant Business Interiors,tables,350.19,C,archive-duplicate,yes,644,"Category  Cafeteria & Breakroom Tables  Manufacturer  Global Upholstery Co., Inc  Manufacturer Ref  DTS1828P BLK  Brand ",seo-only,"Table — 29"" x 28"" | Brant Business Interiors",44,"The Table — 29"" x 28"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.",151,,,
table-29-x-28-5,9114029326649,"Table — 29"" x 28""",Brant Business Interiors,tables,350.19,C,archive-duplicate,yes,498,"Category  Student Desks  Manufacturer  Global Upholstery Co., Inc  Manufacturer Ref  DTS1828P IVC  Brand  Global  Item C",seo-only,"Table — 29"" x 28"" | Brant Business Interiors",44,"The Table — 29"" x 28"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.",151,,,
tables-dolly-7,9113822462265,Tables dolly,Brant Business Interiors,tables,536.55,C,archive-duplicate,yes,404,"Category  Utility/Service Carts  Manufacturer  Global Upholstery Co., Inc  Manufacturer Ref  DTD20  Brand  Global  Item ",seo-only,Tables dolly | Brant Business Interiors,39,The Tables dolly available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,146,,,
carpeted-floor-48-x-60,9100253757753,"Carpeted floor — 48"" x 60""",Brant Business Interiors,uncategorized,139.99,C,archive-duplicate,yes,631,"Category  Carpet Chair Mats  Manufacturer  Deflecto, LLC  Manufacturer Ref  CM13433F  Brand  deflecto  Item Code:  DEFCM",seo-only,"Carpeted floor — 48"" x 60"" | Brant Business Interiors",53,"Shop the Carpeted floor — 48"" x 60"" at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.",155,,,
newland-16w-box-box-file-mobile-pedestal,10197159477561,"Newland | 16""W Box/Box/File Mobile Pedestal",Offices to Go,uncategorized,589.99,C,archive-duplicate,yes,755,"Mobile Pedestal     Thermally fused laminate   Pedestal top features 1"" overhang with built-in grip for ease of mobility",seo-only,"Newland | 16""W Box/Box/File Mobil | Brant Business Interiors",60,"Shop the Newland | 16""W Box/Box/File Mobile Pedestal at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. ...",155,,,
